area_fips,industry_code,year,treated,avg_emplvl,post,log_emp
08000,331523,2015,0,88.22222222222223,0,4.479858883910916
08000,331523,2016,0,89.33333333333333,0,4.4923746918427465
08000,331523,2017,0,104.44444444444444,0,4.648655297927831
08000,331523,2018,0,119.33333333333333,0,4.78192069773259
08000,331523,2019,0,119.0,1,4.77912349311153
10000,331110,2015,1,26.333333333333332,0,3.270835563798912
11000,331110,2015,1,6.0,0,1.791759469228055
12000,331110,2015,1,486.77777777777777,0,6.187807710477679
12000,331110,2016,1,565.8888888888888,0,6.338397749548385
12000,331110,2017,1,642.4444444444445,0,6.465280345240072
12000,331110,2018,1,659.0,0,6.490723534502507
12000,331110,2019,1,753.4444444444445,1,6.624655285347623
12000,331523,2015,0,69.55555555555556,0,4.242125793763879
12000,331523,2016,0,59.333333333333336,0,4.083171261623976
12000,331523,2017,0,68.44444444444444,0,4.2260223861973
12000,331523,2018,0,83.88888888888889,0,4.429493171912806
12000,331523,2019,0,78.0,1,4.356708826689592
13000,331110,2015,1,800.5555555555555,0,6.685305931097403
13000,331110,2016,1,755.4444444444445,0,6.62730624419024
13000,331110,2017,1,787.6666666666666,0,6.6690749885187985
13000,331110,2018,1,817.6666666666666,0,6.7064547555903795
13000,331110,2019,1,849.4444444444443,1,6.7445825410269435
13000,331523,2015,0,83.55555555555556,0,4.425511746613621
17000,331110,2015,1,5111.222222222223,0,8.539193837029156
17000,331110,2016,1,4316.444444444444,0,8.37018729708295
17000,331110,2017,1,3875.8888888888887,0,8.262530306162432
17000,331110,2018,1,4534.0,0,8.419359831067474
17000,331110,2019,1,4850.333333333333,1,8.486802710092169
17000,331523,2015,0,2137.222222222222,0,7.667262237850176
17000,331523,2016,0,2295.5555555555557,0,7.73873016533741
17000,331523,2017,0,2337.0,0,7.756623334538858
17000,331523,2018,0,2224.6666666666665,0,7.707362370643209
17000,331523,2019,0,1887.6666666666667,1,7.543096777445696
18000,331110,2015,1,19260.111111111113,0,9.865791454344361
18000,331110,2016,1,18288.666666666668,0,9.81403683914678
18000,331110,2017,1,17833.44444444444,0,9.788830874726173
18000,331110,2018,1,18000.888888888887,0,9.798176418375064
18000,331110,2019,1,17977.333333333332,1,9.796866984085856
18000,331523,2015,0,2167.1111111111113,0,7.681150274384834
18000,331523,2016,0,2201.777777777778,0,7.697020393832976
18000,331523,2017,0,2261.777777777778,0,7.723906410372504
18000,331523,2018,0,2289.6666666666665,0,7.736161525545771
18000,331523,2019,0,2406.1111111111113,1,7.785767076312507
19000,331110,2015,1,1084.888888888889,0,6.989232854176631
19000,331110,2016,1,1016.3333333333334,0,6.9239566583201455
19000,331110,2017,1,1030.4444444444443,0,6.937745487615187
19000,331110,2018,1,1055.6666666666667,0,6.96192775787053
19000,331110,2019,1,1097.888888888889,1,7.001144422858744
19000,331523,2015,0,673.6666666666666,0,6.512735428735511
20000,331110,2016,1,91.22222222222223,0,4.513298532116209
20000,331110,2017,1,88.8888888888889,0,4.487387150331708
20000,331110,2018,1,93.66666666666667,0,4.539742380665636
20000,331110,2019,1,98.66666666666667,1,4.591747165655951
21000,331110,2015,1,1310.6666666666667,0,7.178291192598947
21000,331110,2016,1,1352.7777777777776,0,7.209915370614571
21000,331110,2017,1,1417.5555555555557,0,7.256689227465682
21000,331110,2018,1,1358.2222222222224,0,7.213931934070082
21000,331110,2019,1,1700.0,1,7.438383530044307
21000,331523,2015,0,1609.0,0,7.3833681469923835
21000,331523,2016,0,1687.3333333333333,0,7.4309046524369595
21000,331523,2017,0,1566.0,0,7.356279876550748
21000,331523,2018,0,1794.777777777778,0,7.492636492577539
21000,331523,2019,0,1752.6666666666667,1,7.468893716621717
22000,331110,2015,1,644.7777777777778,0,6.468905726854389
22000,331110,2016,1,599.0,0,6.395261598115449
22000,331110,2017,1,657.4444444444445,0,6.488360265340475
22000,331110,2018,1,738.1111111111112,0,6.604094370329022
22000,331110,2019,1,677.5555555555555,1,6.518491550211981
24000,331110,2015,1,196.77777777777774,0,5.282075060446614
24000,331110,2016,1,187.88888888888889,0,5.235850771562361
24000,331110,2018,1,38.88888888888889,0,3.6607085771472403
24000,331110,2019,1,68.44444444444444,1,4.2260223861973
24000,331523,2015,0,65.77777777777779,0,4.186282057547786
24000,331523,2016,0,66.55555555555556,0,4.19803702077923
25000,331110,2015,1,32.22222222222222,0,3.4726563456443005
25000,331110,2016,1,26.0,0,3.258096538021482
25000,331110,2017,1,23.666666666666668,0,3.164067588373206
25000,331110,2018,1,35.44444444444445,0,3.5679665254486252
25000,331110,2019,1,24.0,1,3.1780538303479458
25000,331523,2015,0,175.7777777777778,0,5.16922057099138
25000,331523,2016,0,246.7777777777778,0,5.508488246558208
25000,331523,2017,0,247.1111111111111,0,5.509838078034253
25000,331523,2018,0,257.77777777777777,0,5.552097887324137
25000,331523,2019,0,257.44444444444446,1,5.550803947096157
26000,331110,2015,1,5464.666666666667,0,8.606058404544866
